image,tx_power,idx,y,pred,ok,acc,t_encode,t_decode
0,-80,0,speed limit is 30,,0,0.0,0.004283874000975629,1.7410020518582314e-06
1,-80,1,speed limit is 30,,0,0.0,0.006147111998870969,2.5370027287863195e-06
2,-80,2,speed limit is 30,,0,0.0,0.0031304439980885945,1.776999852154404e-06
3,-80,3,speed limit is 30,,0,0.0,0.009601940997526981,1.5929981600493193e-06
4,-80,4,speed limit is 30,,0,0.0,0.002017828002863098,2.611002855701372e-06
5,-80,5,speed limit is 30,,0,0.0,0.00296794599853456,1.7220008885487914e-06
6,-80,6,speed limit is 30,,0,0.0,0.004234578998875804,1.630000042496249e-06
7,-80,7,speed limit is 30,,0,0.0,0.002052530999208102,1.481999788666144e-06
8,-80,8,speed limit is 30,,0,0.0,0.0021627880014420953,1.4070028555579484e-06
9,-80,9,speed limit is 30,,0,0.0,0.0028170959994895384,1.4069992175791413e-06
10,-80,10,speed limit is 50,,0,0.0,0.009343018002255121,3.3149990485981107e-06
11,-80,11,speed limit is 50,,0,0.0,0.0032994419998431113,2.2220010578166693e-06
12,-80,12,speed limit is 50,,0,0.0,0.0016688130017428193,2.77800063486211e-06
13,-80,13,speed limit is 50,,0,0.0,0.0018140520005545113,1.462998625356704e-06
14,-80,14,speed limit is 50,,0,0.0,0.002814743998897029,1.314998371526599e-06
15,-80,15,speed limit is 50,,0,0.0,0.004121395999391098,1.3700009731110185e-06
16,-80,16,speed limit is 50,,0,0.0,0.004176951002591522,1.148000592365861e-06
17,-80,17,speed limit is 50,,0,0.0,0.005395399002736667,1.4449979062192142e-06
18,-80,18,speed limit is 50,,0,0.0,0.00929177799844183,1.6110025171656162e-06
19,-80,19,speed limit is 50,,0,0.0,0.0031685370013292413,1.5190016711130738e-06
20,-80,20,speed limit is 60,,0,0.0,0.005931558000156656,1.444001100026071e-06
21,-80,21,speed limit is 60,,0,0.0,0.008910485998057993,1.3889984984416515e-06
22,-80,22,speed limit is 60,,0,0.0,0.0032881459992495365,1.3710014172829688e-06
23,-80,23,speed limit is 60,,0,0.0,0.0029860760005249176,1.4449979062192142e-06
24,-80,24,speed limit is 60,,0,0.0,0.004397224998683669,1.5000005078036338e-06
25,-80,25,speed limit is 60,,0,0.0,0.005751912998675834,1.5920013538561761e-06
26,-80,26,speed limit is 60,,0,0.0,0.005374361000576755,1.2780001270584762e-06
27,-80,27,speed limit is 60,,0,0.0,0.0028329659980954602,1.3709977793041617e-06
28,-80,28,speed limit is 60,,0,0.0,0.008072014999925159,1.8889986677095294e-06
29,-80,29,speed limit is 60,,0,0.0,0.004361170002084691,1.3890021364204586e-06
30,-80,30,speed limit is 80,,0,0.0,0.004169080002611736,1.6480007616337389e-06
31,-80,31,speed limit is 80,,0,0.0,0.002981408000778174,1.7780002963263541e-06
32,-80,32,speed limit is 80,,0,0.0,0.0022576400006073527,1.4809993444941938e-06
33,-80,33,speed limit is 80,,0,0.0,0.0020579200026986655,1.6480007616337389e-06
34,-80,34,speed limit is 80,,0,0.0,0.0029837229994882364,1.3889984984416515e-06
35,-80,35,speed limit is 80,,0,0.0,0.0022437689985963516,1.6849990061018616e-06
36,-80,36,speed limit is 80,,0,0.0,0.0030044090017327107,1.5000005078036338e-06
37,-80,37,speed limit is 80,,0,0.0,0.0028856870012532454,1.0739968274720013e-06
38,-80,38,speed limit is 80,,0,0.0,0.0022186030000739265,1.2220007192809135e-06
39,-80,39,speed limit is 80,,0,0.0,0.0022059729999455158,1.314998371526599e-06
40,-80,40,pedestrian crossing,,0,0.0,0.0029979089995322283,1.2589989637490362e-06
41,-80,41,pedestrian crossing,,0,0.0,0.0039320819996646605,2.8710019250866026e-06
42,-80,42,pedestrian crossing,,0,0.0,0.0020156789978500456,1.444001100026071e-06
43,-80,43,pedestrian crossing,,0,0.0,0.002157547998649534,1.2780001270584762e-06
44,-80,44,pedestrian crossing,,0,0.0,0.002172714001062559,1.3520002539735287e-06
45,-80,45,pedestrian crossing,,0,0.0,0.003117611002380727,1.462998625356704e-06
46,-80,46,pedestrian crossing,,0,0.0,0.002137715000571916,3.091998223681003e-06
47,-80,47,pedestrian crossing,,0,0.0,0.0026651899970602244,1.0919975466094911e-06
48,-80,48,pedestrian crossing,,0,0.0,0.0020476229983614758,1.630000042496249e-06
49,-80,49,pedestrian crossing,,0,0.0,0.0056546359992353246,1.591997715877369e-06
50,-80,50,do not enter,,0,0.0,0.0026935979985864833,1.462998625356704e-06
