method,idx,t_encode,t_decode,t_total
semcom,3,0.013474751000103424,0.0004336640004112269,0.013908415000514651
semcom,10,0.013648508999722253,0.0002992939998875954,0.013947802999609848
semcom,21,0.0133998059991427,0.00028035000013915123,0.013680155999281851
semcom,27,0.013435601999844948,0.0002706280001802952,0.013706230000025243
semcom,44,0.013375176999943506,0.00026483200053917244,0.013640009000482678
semcom,52,0.013392066000051273,0.0002551099996708217,0.013647175999722094
semcom,74,0.013329510999938066,0.00023896099992271047,0.013568471999860776
semcom,90,0.0134257500003514,0.0002728689996729372,0.013698619000024337
semcom,97,0.013333437000255799,0.0002522020004107617,0.01358563900066656
semcom,98,0.013296103000357107,0.00025060900043172296,0.01354671200078883
semcom,6,0.013316677999682724,0.0002551280003899592,0.013571806000072684
semcom,9,0.013472732000082033,0.0002472019996275776,0.01371993399970961
semcom,37,0.013445677000163414,0.00024457299969071755,0.013690249999854132
semcom,66,0.013498286999492848,0.0002444610008751624,0.01374274800036801
semcom,81,0.013328787999853375,0.00024392500017711427,0.01357271300003049
semcom,82,0.013481083000442595,0.00026479400003154296,0.013745877000474138
semcom,104,0.013508046999959333,0.0002572760004113661,0.0137653230003707
semcom,105,0.013589545999820984,0.00023322000015468802,0.013822765999975672
semcom,114,0.013454288000502856,0.0002475909996064729,0.01370187900010933
semcom,122,0.013301640999998199,0.00025103600000875304,0.013552677000006952
semcom,25,0.013320215000021562,0.00024036900049395626,0.013560584000515519
semcom,35,0.013350602999707917,0.00024264599960588384,0.0135932489993138
semcom,65,0.013455621000503015,0.00023994299954210874,0.013695564000045124
semcom,67,0.013662952999766276,0.0002526279995436198,0.013915580999309896
semcom,70,0.013453714000206674,0.00024657300036778906,0.013700287000574463
semcom,75,0.013325103000170202,0.00024622000000817934,0.013571323000178381
semcom,84,0.013650712000526255,0.0002551650004534167,0.013905877000979672
semcom,86,0.013477231999786454,0.0002494789996489999,0.013726710999435454
semcom,113,0.013625898000100278,0.00022933200034458423,0.013855230000444863
semcom,118,0.01353487899996253,0.0002642760000526323,0.013799155000015162
semcom,0,0.013564973000029568,0.0002486470002622809,0.013813620000291849
semcom,8,0.013362122000216914,0.00024590599969087634,0.01360802799990779
semcom,46,0.013367640000069514,0.0002553129997977521,0.013622952999867266
semcom,53,0.013367139999900246,0.0002549800001361291,0.013622120000036375
semcom,61,0.013351233000321372,0.0002512199998818687,0.01360245300020324
