image,tx_power,idx,y,pred,ok,acc,t_encode,t_decode
0,-80,3,airplane,frog,0,0.0,0.6809651410003426,0.0005609750005532987
1,-80,10,airplane,deer,0,0.0,0.6578278630004206,0.0005002899997634813
2,-80,21,airplane,cat,0,0.0,0.6634055370013812,0.0005095680007798364
3,-80,27,airplane,dog,0,0.0,0.6523690590001934,0.0005003270016459282
4,-80,44,airplane,deer,0,0.0,0.6492234110010031,0.0005600679996859981
5,-80,52,airplane,truck,0,0.0,0.6785449099988909,0.0004959750003763475
6,-80,74,airplane,airplane,1,0.14285714285714285,0.6498726810004882,0.0004961979993822752
7,-80,90,airplane,automobile,0,0.125,0.6858500079997611,0.0004998450003768085
8,-80,97,airplane,dog,0,0.1111111111111111,0.6516503630009538,0.0004959190009685699
9,-80,98,airplane,dog,0,0.1,0.6797314880004706,0.0005507719997694949
10,-80,6,automobile,dog,0,0.09090909090909091,0.6481272580003861,0.0004934939988743281
11,-80,9,automobile,bird,0,0.08333333333333333,0.6751763580014085,0.0004992899994249456
12,-80,37,automobile,truck,0,0.07692307692307693,0.6513870149992727,0.00048625400086166337
13,-80,66,automobile,ship,0,0.07142857142857142,0.661688039001092,0.0005060869989392813
14,-80,81,automobile,deer,0,0.06666666666666667,0.6475058209998679,0.0004972349997842684
15,-80,82,automobile,airplane,0,0.0625,0.6642464340002334,0.0005040489995735697
16,-80,104,automobile,truck,0,0.058823529411764705,0.6733437319999211,0.00048397600039606914
17,-80,105,automobile,cat,0,0.05555555555555555,0.6590148490013235,0.0005567890002566855
18,-80,114,automobile,airplane,0,0.05263157894736842,0.6702426949996152,0.000497271999847726
19,-80,122,automobile,ship,0,0.05,0.6589244789993245,0.0004879019998043077
20,-80,25,bird,automobile,0,0.047619047619047616,0.671093444001599,0.0005471419990499271
21,-80,35,bird,automobile,0,0.045454545454545456,0.657906472999457,0.0005250119993434055
22,-80,65,bird,bird,1,0.08695652173913043,0.6712350709985913,0.0004888269995717565
23,-80,67,bird,deer,0,0.08333333333333333,0.6555899640006828,0.0004943460007780232
24,-80,70,bird,horse,0,0.08,0.6473119330003101,0.0004960679998475825
25,-80,75,bird,bird,1,0.11538461538461539,0.6782256360002066,0.0004927350000798469
26,-80,84,bird,ship,0,0.1111111111111111,0.6585727050005517,0.000488215999212116
27,-80,86,bird,frog,0,0.10714285714285714,0.6931504179992771,0.0004919200000585988
28,-80,113,bird,frog,0,0.10344827586206896,0.6466864220001298,0.0004995679992134683
29,-80,118,bird,frog,0,0.1,0.6796321929996338,0.0005012530000385595
30,-80,0,cat,airplane,0,0.0967741935483871,0.6455869170004007,0.00048762299957161304
31,-80,8,cat,horse,0,0.09375,0.6848157219992572,0.0005432159996416885
32,-80,46,cat,frog,0,0.09090909090909091,0.6536608199985494,0.0004830679990845965
33,-80,53,cat,cat,1,0.11764705882352941,0.6854511959991214,0.000497345999974641
34,-80,61,cat,airplane,0,0.11428571428571428,0.6494089440002426,0.0004900490002910374
35,-80,63,cat,cat,1,0.1388888888888889,0.6603784790004283,0.0005663450010615634
36,-80,68,cat,frog,0,0.13513513513513514,0.6603261090003798,0.0004859750006289687
37,-80,77,cat,ship,0,0.13157894736842105,0.6637260129991773,0.0004922719999740366
38,-80,78,cat,frog,0,0.1282051282051282,0.6797756159994606,0.0005042350003350293
39,-80,91,cat,horse,0,0.125,0.6556868509997003,0.0004928649996145396
40,-80,22,deer,bird,0,0.12195121951219512,0.6704530980005075,0.0005474009994941298
41,-80,26,deer,truck,0,0.11904761904761904,0.6637228649997269,0.0004948450005031191
42,-80,32,deer,bird,0,0.11627906976744186,0.6754093540002941,0.00048227199840766843
43,-80,36,deer,automobile,0,0.11363636363636363,0.6619542190001084,0.000497401000757236
44,-80,40,deer,deer,1,0.13333333333333333,0.6777224359993852,0.00048480900113645475
45,-80,58,deer,frog,0,0.13043478260869565,0.6594246380009281,0.0005119199995533563
46,-80,94,deer,frog,0,0.1276595744680851,0.6524396849999903,0.0004851060002692975
47,-80,100,deer,airplane,0,0.125,0.6821769749985833,0.0005521229995792964
48,-80,110,deer,frog,0,0.12244897959183673,0.6522794090014941,0.0004910489988105837
49,-80,117,deer,frog,0,0.12,0.6817433509986586,0.0005058829992776737
50,-80,12,dog,frog,0,0.11764705882352941,0.6508570370006055,0.0005123280006955611
51,-80,16,dog,airplane,0,0.11538461538461539,0.6932430460001342,0.000496012000439805
52,-80,24,dog,automobile,0,0.11320754716981132,0.6528833280008257,0.0005088640009489609
53,-80,31,dog,deer,0,0.1111111111111111,0.6823674540009961,0.0004887169998255558
54,-80,33,dog,truck,0,0.10909090909090909,0.6535546350005461,0.0004956979992130073
55,-80,39,dog,cat,0,0.10714285714285714,0.6841971730009391,0.0005067349993623793
56,-80,42,dog,deer,0,0.10526315789473684,0.6511998290006886,0.0004921239997202065
57,-80,85,dog,frog,0,0.10344827586206896,0.6568432430012763,0.000487624000015785
58,-80,101,dog,frog,0,0.1016949152542373,0.6793588799991994,0.0004991050009266473
59,-80,128,dog,automobile,0,0.1,0.6624920449994534,0.0004960679998475825
60,-80,4,frog,truck,0,0.09836065573770492,0.672625571000026,0.000488882998979534
61,-80,5,frog,frog,1,0.11290322580645161,0.6624956189989462,0.0005104569991090102
62,-80,7,frog,automobile,0,0.1111111111111111,0.6841945249998389,0.000512104999870644
63,-80,19,frog,ship,0,0.109375,0.6564947650003887,0.0005857520009158179
64,-80,29,frog,deer,0,0.1076923076923077,0.669879751998451,0.0005002899997634813
65,-80,30,frog,bird,0,0.10606060606060606,0.6606352529997821,0.000498661000165157
66,-80,41,frog,deer,0,0.1044776119402985,0.6798965569996653,0.0004931049988954328
67,-80,43,frog,ship,0,0.10294117647058823,0.659604524000315,0.0004927350000798469
68,-80,49,frog,truck,0,0.10144927536231885,0.6540978129996802,0.0005222720010351622
69,-80,59,frog,deer,0,0.1,0.6599158170010924,0.0004977529988536844
70,-80,13,horse,airplane,0,0.09859154929577464,0.6492239449999033,0.0005033269990235567
71,-80,17,horse,bird,0,0.09722222222222222,0.6751537619984447,0.00048621700079820585
72,-80,20,horse,airplane,0,0.0958904109589041,0.6482955299998139,0.0004956979992130073
73,-80,48,horse,automobile,0,0.0945945945945946,0.676859945000615,0.000487087001602049
74,-80,56,horse,bird,0,0.09333333333333334,0.6513073460009764,0.0005442899982881499
75,-80,57,horse,bird,0,0.09210526315789473,0.6804393649999838,0.0004917910009680782
76,-80,60,horse,frog,0,0.09090909090909091,0.6536407240000699,0.0004982350001228042
77,-80,69,horse,cat,0,0.08974358974358974,0.672286480999901,0.0004950130005454412
78,-80,83,horse,horse,1,0.10126582278481013,0.6503936529989005,0.00048680899999453686
79,-80,87,horse,frog,0,0.1,0.6649832910006808,0.000492160999783664
80,-80,1,ship,cat,0,0.09876543209876543,0.6478722020001442,0.0004925309985992499
81,-80,2,ship,bird,0,0.0975609756097561,0.6597396509987448,0.0004903649987682002
82,-80,15,ship,airplane,0,0.0963855421686747,0.6738577029991575,0.00045423499977914616
83,-80,18,ship,bird,0,0.09523809523809523,0.6624319519996789,0.00047551299940096214
84,-80,51,ship,deer,0,0.09411764705882353,0.6762164890005806,0.0004869010008405894
85,-80,54,ship,deer,0,0.09302325581395349,0.6583118159996957,0.0006963619998714421
86,-80,55,ship,cat,0,0.09195402298850575,0.6733970229997794,0.000483030999021139
87,-80,72,ship,truck,0,0.09090909090909091,0.6583418900008837,0.0004921239997202065
88,-80,73,ship,frog,0,0.0898876404494382,0.6703204869991168,0.0005019750005885726
89,-80,79,ship,ship,1,0.1,0.6589065680000203,0.0005015309998270823
90,-80,11,truck,cat,0,0.0989010989010989,0.6512198640011775,0.0005803999993077014
91,-80,14,truck,deer,0,0.09782608695652174,0.6660189459998946,0.0005069569997431245
92,-80,23,truck,bird,0,0.0967741935483871,0.6530324909999763,0.0004929379992972827
93,-80,28,truck,truck,1,0.10638297872340426,0.689832344000024,0.000498642000820837
94,-80,34,truck,cat,0,0.10526315789473684,0.6528897699990921,0.0005077349997009151
95,-80,38,truck,deer,0,0.10416666666666667,0.6825641539999197,0.0004885130001639482
96,-80,45,truck,airplane,0,0.10309278350515463,0.6496249390002049,0.0005007719992136117
97,-80,47,truck,cat,0,0.10204081632653061,0.6796929100000852,0.0005474930003401823
98,-80,50,truck,truck,1,0.1111111111111111,0.6455681170009484,0.0005608450010186061
