image,tx_power,idx,y,pred,ok,acc,t_encode,t_decode
0,-80,3,airplane,automobile,0,0.0,0.8662889430124778,0.0005458999949041754
1,-80,10,airplane,horse,0,0.0,0.8926301889878232,0.0004936969926347956
2,-80,21,airplane,horse,0,0.0,0.8589114479982527,0.0004989010049030185
3,-80,27,airplane,frog,0,0.0,0.8725382319971686,0.0006136949959909543
4,-80,44,airplane,frog,0,0.0,0.86239858699264,0.0004955309996148571
5,-80,52,airplane,ship,0,0.0,0.8590078550041653,0.000549586009583436
6,-80,74,airplane,dog,0,0.0,0.8768465269968146,0.0004887899995082989
7,-80,90,airplane,ship,0,0.0,0.8648052780044964,0.000507160002598539
8,-80,97,airplane,frog,0,0.0,0.8776788680115715,0.00045277200115378946
9,-80,98,airplane,dog,0,0.0,0.8604830200056313,0.000471289997221902
10,-80,6,automobile,airplane,0,0.0,0.8835765120020369,0.0004970860027242452
11,-80,9,automobile,automobile,1,0.08333333333333333,0.8795523799926741,0.0004942159866914153
12,-80,37,automobile,deer,0,0.07692307692307693,0.8710447880002903,0.0004934930038871244
13,-80,66,automobile,frog,0,0.07142857142857142,0.8789790169976186,0.0004894750018138438
14,-80,81,automobile,cat,0,0.06666666666666667,0.862888543997542,0.0005008459993405268
15,-80,82,automobile,frog,0,0.0625,0.8740344899997581,0.0004928639973513782
16,-80,104,automobile,deer,0,0.058823529411764705,0.8885230029991362,0.0005806219996884465
17,-80,105,automobile,cat,0,0.05555555555555555,0.8685256000026129,0.0004813270061276853
18,-80,114,automobile,ship,0,0.05263157894736842,0.8852287690097,0.0004928830021526664
19,-80,122,automobile,dog,0,0.05,0.865435121988412,0.00048510500346310437
20,-80,25,bird,bird,1,0.09523809523809523,0.8832963489985559,0.0004951229930156842
21,-80,35,bird,dog,0,0.09090909090909091,0.8833757560059894,0.0004894570010947064
22,-80,65,bird,bird,1,0.13043478260869565,0.86832091701217,0.0004948819987475872
23,-80,67,bird,dog,0,0.125,0.889154069009237,0.0005076600064057857
24,-80,70,bird,deer,0,0.12,0.8612125670042587,0.0004878269974142313
25,-80,75,bird,horse,0,0.11538461538461539,0.8829784280096646,0.0004906230024062097
26,-80,84,bird,cat,0,0.1111111111111111,0.884394260996487,0.00047949400322977453
27,-80,86,bird,automobile,0,0.10714285714285714,0.8585258980019717,0.0004981050005881116
28,-80,113,bird,bird,1,0.13793103448275862,0.8790894050034694,0.000488456993480213
29,-80,118,bird,automobile,0,0.13333333333333333,0.8671427849913016,0.0004967889981344342
30,-80,0,cat,bird,0,0.12903225806451613,0.8831099259987241,0.0004907350084977224
31,-80,8,cat,dog,0,0.125,0.8792904769943561,0.0004902520013274625
32,-80,46,cat,cat,1,0.15151515151515152,0.8614496009977302,0.0005501600098796189
33,-80,53,cat,truck,0,0.14705882352941177,0.8826512660016306,0.0004928639973513782
34,-80,61,cat,dog,0,0.14285714285714285,0.8650097019999521,0.0005927509919274598
35,-80,63,cat,frog,0,0.1388888888888889,0.8784525809896877,0.0005478819948621094
36,-80,68,cat,truck,0,0.13513513513513514,0.8790734979993431,0.0004946229892084375
37,-80,77,cat,horse,0,0.13157894736842105,0.8663517950044479,0.0005056039954070002
38,-80,78,cat,frog,0,0.1282051282051282,0.8740019910037518,0.0005825480038765818
39,-80,91,cat,deer,0,0.125,0.8623956439987523,0.000485938013298437
40,-80,22,deer,airplane,0,0.12195121951219512,0.8743865419965005,0.0004917159967590123
41,-80,26,deer,ship,0,0.11904761904761904,1.0320718729926739,0.0004963259998476133
42,-80,32,deer,automobile,0,0.11627906976744186,0.856468647994916,0.0005442520050564781
43,-80,36,deer,frog,0,0.11363636363636363,0.8840708589996211,0.0004786969948327169
44,-80,40,deer,truck,0,0.1111111111111111,0.8590559279982699,0.0004971240123268217
45,-80,58,deer,bird,0,0.10869565217391304,0.8961860140116187,0.0004894010053249076
46,-80,94,deer,automobile,0,0.10638297872340426,0.8874094069906278,0.0004809379897778854
47,-80,100,deer,dog,0,0.10416666666666667,0.8642227870004717,0.00048280900227837265
48,-80,110,deer,truck,0,0.10204081632653061,0.887750772992149,0.0004666599998017773
49,-80,117,deer,ship,0,0.1,0.8680380690057063,0.0004992710018996149
50,-80,12,dog,deer,0,0.09803921568627451,0.8809158259973628,0.0004886419919785112
51,-80,16,dog,dog,1,0.11538461538461539,0.8832603140035644,0.000483864001580514
52,-80,24,dog,cat,0,0.11320754716981132,0.8616418210003758,0.0004909749986836687
53,-80,31,dog,airplane,0,0.1111111111111111,0.8885324860020773,0.0004871420096606016
54,-80,33,dog,deer,0,0.10909090909090909,0.8666704020142788,0.0004863079957431182
55,-80,39,dog,horse,0,0.10714285714285714,0.8813479880045634,0.00045067899918649346
56,-80,42,dog,ship,0,0.10526315789473684,0.8890036279917695,0.0005373640015022829
57,-80,85,dog,horse,0,0.10344827586206896,0.8600067489896901,0.00048204899940174073
58,-80,101,dog,frog,0,0.1016949152542373,0.8922164370014798,0.0004981780075468123
59,-80,128,dog,frog,0,0.1,0.8658203030063305,0.00048538298869971186
60,-80,4,frog,dog,0,0.09836065573770492,0.8902277779998258,0.0004849379911320284
61,-80,5,frog,bird,0,0.0967741935483871,0.890429941995535,0.0004803080082638189
62,-80,7,frog,frog,1,0.1111111111111111,0.8600283050036523,0.000488383011543192
63,-80,19,frog,ship,0,0.109375,0.8809111050068168,0.0004925670073134825
64,-80,29,frog,deer,0,0.1076923076923077,0.8647188550094143,0.000498697001603432
65,-80,30,frog,automobile,0,0.10606060606060606,0.8899321890057763,0.0005012720066588372
66,-80,41,frog,bird,0,0.1044776119402985,0.8872735019976972,0.00048564199823886156
67,-80,43,frog,airplane,0,0.10294117647058823,0.856137838010909,0.0004828079981962219
68,-80,49,frog,frog,1,0.11594202898550725,0.8880213630036451,0.0004921789950458333
69,-80,59,frog,ship,0,0.11428571428571428,0.8675971320044482,0.0004924009990645573
70,-80,13,horse,truck,0,0.11267605633802817,0.8801958730036858,0.0005852510075783357
71,-80,17,horse,dog,0,0.1111111111111111,0.8889621100097429,0.0005484190041897818
