image,tx_power,idx,y,pred,ok,acc,t_encode,t_decode
0,-80,0,speed limit is 30,pedestrian crossing,0,0.0,0.6519174000022758,0.0005598269999609329
1,-80,1,speed limit is 30,speed limit is 50,0,0.0,0.6711695220001275,0.000505752999742981
2,-80,2,speed limit is 30,do not enter,0,0.0,0.6450314819994674,0.0004938829988532234
3,-80,3,speed limit is 30,pedestrian crossing,0,0.0,0.6620275940003921,0.0004963079991284758
4,-80,4,speed limit is 30,pedestrian crossing,0,0.0,0.6413290259988571,0.0005649939994327724
5,-80,5,speed limit is 30,pedestrian crossing,0,0.0,0.6640924950006593,0.000493400999403093
6,-80,6,speed limit is 30,pedestrian crossing,0,0.0,0.6435594069989747,0.0004897170001640916
7,-80,7,speed limit is 30,pedestrian crossing,0,0.0,0.6577544409992697,0.0005016430004616268
8,-80,8,speed limit is 30,pedestrian crossing,0,0.0,0.6440598080007476,0.0004909750023216475
9,-80,9,speed limit is 30,pedestrian crossing,0,0.0,0.6444756370001414,0.0005383459974837024
10,-80,10,speed limit is 50,speed limit is 60,0,0.0,0.6662510429996473,0.0004985129999113269
11,-80,11,speed limit is 50,do not enter,0,0.0,0.6459772110029007,0.0004902910004602745
12,-80,12,speed limit is 50,do not enter,0,0.0,0.6651554080017377,0.0004871599994658027
13,-80,13,speed limit is 50,pedestrian crossing,0,0.0,0.6471851969981799,0.0005066060002718586
14,-80,14,speed limit is 50,pedestrian crossing,0,0.0,0.6661912100025802,0.000580067000555573
15,-80,15,speed limit is 50,do not enter,0,0.0,0.6449164650002785,0.0004933089985570405
16,-80,16,speed limit is 50,speed limit is 50,1,0.058823529411764705,0.6663079869977082,0.0005288089996611234
17,-80,17,speed limit is 50,pedestrian crossing,0,0.05555555555555555,0.643136096001399,0.0005410490011854563
18,-80,18,speed limit is 50,speed limit is 30,0,0.05263157894736842,0.6445020430001023,0.0005468449999170844
19,-80,19,speed limit is 50,speed limit is 30,0,0.05,0.6652951469986874,0.00048121699728653766
20,-80,20,speed limit is 60,speed limit is 80,0,0.047619047619047616,0.6431186709996837,0.0004811790022358764
21,-80,21,speed limit is 60,pedestrian crossing,0,0.045454545454545456,0.6623475519991189,0.000492104998556897
22,-80,22,speed limit is 60,do not enter,0,0.043478260869565216,0.6425161970000772,0.0004524389987636823
23,-80,23,speed limit is 60,pedestrian crossing,0,0.041666666666666664,0.6671363470013603,0.0004880680025962647
24,-80,24,speed limit is 60,do not enter,0,0.04,0.6449229079989891,0.0005420310008048546
25,-80,25,speed limit is 60,pedestrian crossing,0,0.038461538461538464,0.664630210998439,0.0004806239994650241
26,-80,26,speed limit is 60,do not enter,0,0.037037037037037035,0.6415641339990543,0.0004876240018347744
27,-80,27,speed limit is 60,speed limit is 30,0,0.03571428571428571,0.6465020380019268,0.0004921800027659629
28,-80,28,speed limit is 60,pedestrian crossing,0,0.034482758620689655,0.6552323600008094,0.0004804939999303315
29,-80,29,speed limit is 60,speed limit is 80,0,0.03333333333333333,0.6435385549993953,0.0004905679998046253
30,-80,30,speed limit is 80,pedestrian crossing,0,0.03225806451612903,0.6655160700029228,0.0005490299990924541
31,-80,31,speed limit is 80,pedestrian crossing,0,0.03125,0.6440911589997995,0.0005145309987710789
32,-80,32,speed limit is 80,speed limit is 50,0,0.030303030303030304,0.6695893920004892,0.0004927530026179738
33,-80,33,speed limit is 80,speed limit is 30,0,0.029411764705882353,0.6425397700004396,0.0005788630005554296
34,-80,34,speed limit is 80,pedestrian crossing,0,0.02857142857142857,0.6647191529991687,0.0004903459994238801
35,-80,35,speed limit is 80,speed limit is 30,0,0.027777777777777776,0.6434898519983108,0.0004816610016860068
36,-80,36,speed limit is 80,speed limit is 50,0,0.02702702702702703,0.6477481340007216,0.0005085490010969806
37,-80,37,speed limit is 80,pedestrian crossing,0,0.02631578947368421,0.6480886659992393,0.0004800870010512881
38,-80,38,speed limit is 80,pedestrian crossing,0,0.02564102564102564,0.6445512649988814,0.00047516099948552437
39,-80,39,speed limit is 80,pedestrian crossing,0,0.025,0.6640051809990837,0.0004907900001853704
40,-80,40,pedestrian crossing,pedestrian crossing,1,0.04878048780487805,0.641589393002505,0.0004911969990644138
41,-80,41,pedestrian crossing,speed limit is 80,0,0.047619047619047616,0.677686109997012,0.000488290999783203
42,-80,42,pedestrian crossing,speed limit is 80,0,0.046511627906976744,0.6434710370012908,0.0004828830024052877
43,-80,43,pedestrian crossing,pedestrian crossing,1,0.06818181818181818,0.6683607390004909,0.00048764199891593307
44,-80,44,pedestrian crossing,pedestrian crossing,1,0.08888888888888889,0.644332507999934,0.00047847500172792934
45,-80,45,pedestrian crossing,do not enter,0,0.08695652173913043,0.6745933499987586,0.0004880129999946803
46,-80,46,pedestrian crossing,pedestrian crossing,1,0.10638297872340426,0.6442857490001188,0.0004867899988312274
47,-80,47,pedestrian crossing,pedestrian crossing,1,0.125,0.6442617489992699,0.0004917159967590123
48,-80,48,pedestrian crossing,pedestrian crossing,1,0.14285714285714285,0.66630161500143,0.0004847529999096878
49,-80,49,pedestrian crossing,do not enter,0,0.14,0.6433150379998551,0.0005510670016519725
50,-80,50,do not enter,pedestrian crossing,0,0.13725490196078433,0.6600270239978272,0.00048138300189748406
51,-80,51,do not enter,speed limit is 30,0,0.1346153846153846,0.6455631419994461,0.0005304010010149796
52,-80,52,do not enter,speed limit is 30,0,0.1320754716981132,0.6645832280009927,0.00048521600183448754
53,-80,53,do not enter,speed limit is 50,0,0.12962962962962962,0.6445090609995532,0.0004842340022150893
54,-80,54,do not enter,do not enter,1,0.14545454545454545,0.6669222560012713,0.0004814389976672828
55,-80,55,do not enter,pedestrian crossing,0,0.14285714285714285,0.6434425560000818,0.0005403819995990489
56,-80,56,do not enter,pedestrian crossing,0,0.14035087719298245,0.6417409280002175,0.0004986050007573795
57,-80,57,do not enter,pedestrian crossing,0,0.13793103448275862,0.6558237409990397,0.00048716099990997463
58,-80,58,do not enter,pedestrian crossing,0,0.13559322033898305,0.643910827999207,0.000490734997583786
59,-80,59,do not enter,do not enter,1,0.15,0.6622132749980665,0.000541253000847064
60,-70,0,speed limit is 30,pedestrian crossing,0,0.0,0.641431542000646,0.00048530900312471204
61,-70,1,speed limit is 30,speed limit is 60,0,0.0,0.6652428509987658,0.00047917999836499803
62,-70,2,speed limit is 30,pedestrian crossing,0,0.0,0.6426824169975589,0.0004863270005444065
63,-70,3,speed limit is 30,do not enter,0,0.0,0.6702312719971815,0.0004859019973082468
64,-70,4,speed limit is 30,pedestrian crossing,0,0.0,0.6458125819990528,0.0004868280011578463
65,-70,5,speed limit is 30,do not enter,0,0.0,0.643449037001119,0.0005848079999850597
66,-70,6,speed limit is 30,speed limit is 30,1,0.14285714285714285,0.6445424499979708,0.0004859020009462256
67,-70,7,speed limit is 30,do not enter,0,0.125,0.6434326479975425,0.0004775499983225018
68,-70,8,speed limit is 30,do not enter,0,0.1111111111111111,0.6666163149966451,0.0004770499981532339
69,-70,9,speed limit is 30,speed limit is 30,1,0.2,0.6451833300016006,0.0004894199992122594
70,-70,10,speed limit is 50,speed limit is 80,0,0.18181818181818182,0.6645227109984262,0.00048182699902099557
71,-70,11,speed limit is 50,do not enter,0,0.16666666666666666,0.6409267139970325,0.0004928090020257514
72,-70,12,speed limit is 50,speed limit is 30,0,0.15384615384615385,0.6677157650010486,0.0005049009996582754
73,-70,13,speed limit is 50,do not enter,0,0.14285714285714285,0.6543530550006835,0.000479939000797458
74,-70,14,speed limit is 50,speed limit is 60,0,0.13333333333333333,0.6619861300023331,0.0005033279994677287
75,-70,15,speed limit is 50,speed limit is 60,0,0.125,0.6454211979980755,0.000447754002379952
76,-70,16,speed limit is 50,pedestrian crossing,0,0.11764705882352941,0.6448122430010699,0.0004842349990212824
77,-70,17,speed limit is 50,speed limit is 80,0,0.1111111111111111,0.6745577389992832,0.0004863270005444065
78,-70,18,speed limit is 50,speed limit is 60,0,0.10526315789473684,0.6435009430024365,0.0004817530025320593
79,-70,19,speed limit is 50,do not enter,0,0.1,0.6649194460005674,0.0004795500026375521
80,-70,20,speed limit is 60,pedestrian crossing,0,0.09523809523809523,0.6413230619982642,0.0005305310005496722
81,-70,21,speed limit is 60,speed limit is 30,0,0.09090909090909091,0.6636011289992894,0.0004853650025324896
82,-70,22,speed limit is 60,speed limit is 60,1,0.13043478260869565,0.6423902160022408,0.00048097599938046187
83,-70,23,speed limit is 60,pedestrian crossing,0,0.125,0.669994477997534,0.0005410119993030094
84,-70,24,speed limit is 60,speed limit is 30,0,0.12,0.6456317129996023,0.00046532799751730636
85,-70,25,speed limit is 60,do not enter,0,0.11538461538461539,0.6471243439991667,0.0005488639981194865
86,-70,26,speed limit is 60,speed limit is 60,1,0.14814814814814814,0.6701342540000041,0.000480512000649469
87,-70,27,speed limit is 60,speed limit is 30,0,0.14285714285714285,0.6457876190033858,0.00048504999722354114
88,-70,28,speed limit is 60,do not enter,0,0.13793103448275862,0.6713019449998683,0.0005028269988542888
89,-70,29,speed limit is 60,speed limit is 30,0,0.13333333333333333,0.6461219119992165,0.0004777730027853977
90,-70,30,speed limit is 80,speed limit is 60,0,0.12903225806451613,0.6696549449989107,0.0004918090016872156
91,-70,31,speed limit is 80,do not enter,0,0.125,0.644717908999155,0.000481309001770569
92,-70,32,speed limit is 80,pedestrian crossing,0,0.12121212121212122,0.6680064100000891,0.0005009940032323357
93,-70,33,speed limit is 80,speed limit is 60,0,0.11764705882352941,0.642837913997937,0.0004896419995930046
94,-70,34,speed limit is 80,speed limit is 30,0,0.11428571428571428,0.6419313130027149,0.0005818269964947831
95,-70,35,speed limit is 80,speed limit is 80,1,0.1388888888888889,0.6488281199999619,0.0004820870017283596
96,-70,36,speed limit is 80,do not enter,0,0.13513513513513514,0.6418793510019896,0.0004865119990427047
97,-70,37,speed limit is 80,speed limit is 30,0,0.13157894736842105,0.6625468260026537,0.0004936049990647007
98,-70,38,speed limit is 80,pedestrian crossing,0,0.1282051282051282,0.6412066000011691,0.0004966239976056386
99,-70,39,speed limit is 80,pedestrian crossing,0,0.125,0.6684556069994869,0.0004921789986838121
100,-70,40,pedestrian crossing,do not enter,0,0.12195121951219512,0.6434687950022635,0.0004892539982392918
101,-70,41,pedestrian crossing,pedestrian crossing,1,0.14285714285714285,0.6643139160005376,0.00045327200132305734
102,-70,42,pedestrian crossing,speed limit is 50,0,0.13953488372093023,0.6446406330032914,0.00048323499868274666
103,-70,43,pedestrian crossing,pedestrian crossing,1,0.1590909090909091,0.643877270998928,0.0007112870007404126
104,-70,44,pedestrian crossing,do not enter,0,0.15555555555555556,0.6415764470002614,0.0004936430013913196
105,-70,45,pedestrian crossing,speed limit is 30,0,0.15217391304347827,0.641701575001207,0.0005025129976274911
106,-70,46,pedestrian crossing,pedestrian crossing,1,0.1702127659574468,0.6604188700002851,0.0005126610012666788
107,-70,47,pedestrian crossing,do not enter,0,0.16666666666666666,0.644851111999742,0.0004858089996560011
108,-70,48,pedestrian crossing,speed limit is 60,0,0.16326530612244897,0.6651232589974825,0.00047929100037436
109,-70,49,pedestrian crossing,speed limit is 50,0,0.16,0.6407235490005405,0.00048430899914819747
110,-70,50,do not enter,pedestrian crossing,0,0.1568627450980392,0.6639021609989868,0.0004925680004816968
111,-70,51,do not enter,do not enter,1,0.17307692307692307,0.642066608001187,0.0005372339983296115
112,-70,52,do not enter,pedestrian crossing,0,0.16981132075471697,0.6649199830026191,0.00048056800005724654
113,-70,53,do not enter,pedestrian crossing,0,0.16666666666666666,0.6437819759994454,0.0004881610002485104
114,-70,54,do not enter,do not enter,1,0.18181818181818182,0.6458050809997076,0.00048210600289166905
115,-70,55,do not enter,pedestrian crossing,0,0.17857142857142858,0.6643298779999895,0.0005055309993622359
116,-70,56,do not enter,pedestrian crossing,0,0.17543859649122806,0.6415319469997485,0.0004906610010948498
117,-70,57,do not enter,speed limit is 30,0,0.1724137931034483,0.6647744479996618,0.00048249500105157495
118,-70,58,do not enter,speed limit is 30,0,0.1694915254237288,0.6419425900021452,0.00047673500012024306
119,-70,59,do not enter,speed limit is 50,0,0.16666666666666666,0.6647121149981103,0.0004841980007768143
120,-60,0,speed limit is 30,speed limit is 30,1,1.0,0.6431030210005702,0.0004931420007778797
121,-60,1,speed limit is 30,speed limit is 30,1,1.0,0.664791631999833,0.0004930860013701022
122,-60,2,speed limit is 30,speed limit is 30,1,1.0,0.6431458719998773,0.00048784599857754074
123,-60,3,speed limit is 30,speed limit is 30,1,1.0,0.6427519140015647,0.0005069010003353469
124,-60,4,speed limit is 30,speed limit is 30,1,1.0,0.6602338349985075,0.00048558700291323476
125,-60,5,speed limit is 30,speed limit is 30,1,1.0,0.6438136420001683,0.00047630900007789023
126,-60,6,speed limit is 30,pedestrian crossing,0,0.8571428571428571,0.672161321999738,0.000484827996842796
127,-60,7,speed limit is 30,do not enter,0,0.75,0.6435354970017215,0.0004890310010523535
128,-60,8,speed limit is 30,speed limit is 60,0,0.6666666666666666,0.6674149159989611,0.0004780870003742166
129,-60,9,speed limit is 30,speed limit is 50,0,0.6,0.6442659880012798,0.0004843839997192845
130,-60,10,speed limit is 50,speed limit is 50,1,0.6363636363636364,0.666999864999525,0.0004864939983235672
131,-60,11,speed limit is 50,speed limit is 30,0,0.5833333333333334,0.6417265739983122,0.0004777350004587788
132,-60,12,speed limit is 50,speed limit is 60,0,0.5384615384615384,0.658011045998137,0.0004829580029763747
133,-60,13,speed limit is 50,speed limit is 60,0,0.5,0.6442315630010853,0.000483030999021139
134,-60,14,speed limit is 50,speed limit is 30,0,0.4666666666666667,0.6435110160018667,0.0004916609977954067
135,-60,15,speed limit is 50,speed limit is 50,1,0.5,0.6658919340006832,0.00047238299885066226
136,-60,16,speed limit is 50,speed limit is 30,0,0.47058823529411764,0.6426133970016963,0.0004903279987047426
137,-60,17,speed limit is 50,speed limit is 60,0,0.4444444444444444,0.6635768129999633,0.0005774189994554035
138,-60,18,speed limit is 50,speed limit is 30,0,0.42105263157894735,0.6422452719998546,0.00048573499952908605
139,-60,19,speed limit is 50,speed limit is 60,0,0.4,0.6657813609999721,0.0005952710016572382
140,-60,20,speed limit is 60,speed limit is 60,1,0.42857142857142855,0.6424372689980373,0.00046808700062683783
141,-60,21,speed limit is 60,speed limit is 60,1,0.45454545454545453,0.6611610079999082,0.0004867169991484843
142,-60,22,speed limit is 60,speed limit is 80,0,0.43478260869565216,0.6406060319968674,0.000478568999824347
143,-60,23,speed limit is 60,speed limit is 50,0,0.4166666666666667,0.6437764940019406,0.0004905870009679347
144,-60,24,speed limit is 60,speed limit is 60,1,0.44,0.6617341499986651,0.0004835129984712694
145,-60,25,speed limit is 60,speed limit is 60,1,0.46153846153846156,0.6411622289997467,0.0004982719983672723
146,-60,26,speed limit is 60,speed limit is 50,0,0.4444444444444444,0.66240278999976,0.0005020860007789452
147,-60,27,speed limit is 60,speed limit is 60,1,0.4642857142857143,0.6442858949994843,0.0004838090026169084
148,-60,28,speed limit is 60,speed limit is 30,0,0.4482758620689655,0.6717304740013788,0.0005262710001261439
149,-60,29,speed limit is 60,speed limit is 60,1,0.4666666666666667,0.6425176569973701,0.00048573499952908605
150,-60,30,speed limit is 80,speed limit is 60,0,0.45161290322580644,0.6639484750012343,0.000497215998620959
151,-60,31,speed limit is 80,speed limit is 80,1,0.46875,0.6408440480008721,0.0004806060023838654
152,-60,32,speed limit is 80,speed limit is 80,1,0.48484848484848486,0.6420793290017173,0.0004928090020257514
153,-60,33,speed limit is 80,pedestrian crossing,0,0.47058823529411764,0.6604460719972849,0.0004850870027439669
154,-60,34,speed limit is 80,speed limit is 80,1,0.4857142857142857,0.6425277680027648,0.0004900499989162199
155,-60,35,speed limit is 80,speed limit is 80,1,0.5,0.665308161998837,0.00048403099935967475
156,-60,36,speed limit is 80,speed limit is 80,1,0.5135135135135135,0.6431420380031341,0.0004843829992751125
157,-60,37,speed limit is 80,speed limit is 80,1,0.5263157894736842,0.6689996190034435,0.0005337529983080458
158,-60,38,speed limit is 80,speed limit is 80,1,0.5384615384615384,0.6423017890010669,0.00048510499982512556
159,-60,39,speed limit is 80,speed limit is 80,1,0.55,0.673971669999446,0.0004856790001213085
160,-60,40,pedestrian crossing,pedestrian crossing,1,0.5609756097560976,0.647354525000992,0.00048508699910598807
161,-60,41,pedestrian crossing,pedestrian crossing,1,0.5714285714285714,0.6568153750013153,0.0004857159983657766
162,-60,42,pedestrian crossing,pedestrian crossing,1,0.5813953488372093,0.6421900679997634,0.0004852169986406807
163,-60,43,pedestrian crossing,pedestrian crossing,1,0.5909090909090909,0.6434462200013513,0.0005451600009109825
164,-60,44,pedestrian crossing,pedestrian crossing,1,0.6,0.6679338899994036,0.0005406969976320397
165,-60,45,pedestrian crossing,do not enter,0,0.5869565217391305,0.6423742879997008,0.00048547599726589397
166,-60,46,pedestrian crossing,speed limit is 60,0,0.574468085106383,0.662699786000303,0.0004811429971596226
167,-60,47,pedestrian crossing,pedestrian crossing,1,0.5833333333333334,0.643032261999906,0.0004961969971191138
168,-60,48,pedestrian crossing,pedestrian crossing,1,0.5918367346938775,0.6620577569992747,0.0004800489987246692
169,-60,49,pedestrian crossing,pedestrian crossing,1,0.6,0.6453254560001369,0.0004858270003751386
170,-60,50,do not enter,pedestrian crossing,0,0.5882352941176471,0.6721889129985357,0.0004730500004370697
171,-60,51,do not enter,do not enter,1,0.5961538461538461,0.6437740120018134,0.0004861429988523014
172,-60,52,do not enter,do not enter,1,0.6037735849056604,0.6448032410007727,0.0005498639984580223
173,-60,53,do not enter,pedestrian crossing,0,0.5925925925925926,0.6665645170032803,0.0005006419996789191
174,-60,54,do not enter,pedestrian crossing,0,0.5818181818181818,0.6494405739977083,0.0004864020011154935
175,-60,55,do not enter,pedestrian crossing,0,0.5714285714285714,0.6817628919998242,0.0005010679997212719
176,-60,56,do not enter,do not enter,1,0.5789473684210527,0.6430607049987884,0.0004784199991263449
177,-60,57,do not enter,pedestrian crossing,0,0.5689655172413793,0.6625485099975776,0.0004774759981955867
178,-60,58,do not enter,do not enter,1,0.576271186440678,0.6422270860020944,0.00048410599993076175
179,-60,59,do not enter,speed limit is 50,0,0.5666666666666667,0.6630598550000286,0.0004832909980905242
180,-50,0,speed limit is 30,speed limit is 30,1,1.0,0.6400816490022407,0.00048625400086166337
181,-50,1,speed limit is 30,speed limit is 30,1,1.0,0.6414190770010464,0.0004863280009885784
182,-50,2,speed limit is 30,speed limit is 30,1,1.0,0.6552056720029213,0.0005429930024547502
183,-50,3,speed limit is 30,speed limit is 30,1,1.0,0.6431287790001079,0.00051604899999802
184,-50,4,speed limit is 30,speed limit is 30,1,1.0,0.6644655969976156,0.0005024199999752454
185,-50,5,speed limit is 30,speed limit is 30,1,1.0,0.6443380980017537,0.0004933279997203499
186,-50,6,speed limit is 30,speed limit is 30,1,1.0,0.6628627459976997,0.0004944940010318533
187,-50,7,speed limit is 30,speed limit is 50,0,0.875,0.6440628969976387,0.00048440099999425
188,-50,8,speed limit is 30,speed limit is 50,0,0.7777777777777778,0.6679060189999291,0.000481846000184305
189,-50,9,speed limit is 30,speed limit is 30,1,0.8,0.6405804749992967,0.0004961790000379551
190,-50,10,speed limit is 50,speed limit is 60,0,0.7272727272727273,0.667917740996927,0.00048386500202468596
191,-50,11,speed limit is 50,speed limit is 50,1,0.75,0.6461226869978418,0.0004739210016850848
192,-50,12,speed limit is 50,speed limit is 60,0,0.6923076923076923,0.6427234309994674,0.00044827199963037856
193,-50,13,speed limit is 50,speed limit is 50,1,0.7142857142857143,0.662584287001664,0.000481309001770569
194,-50,14,speed limit is 50,speed limit is 30,0,0.6666666666666666,0.6424502870031574,0.0004943089988955762
195,-50,15,speed limit is 50,speed limit is 50,1,0.6875,0.6687474719983584,0.00048149400026886724
196,-50,16,speed limit is 50,speed limit is 60,0,0.6470588235294118,0.6422637150026276,0.0004954760006512515
197,-50,17,speed limit is 50,speed limit is 50,1,0.6666666666666666,0.6651399599977594,0.0004905310015601572
198,-50,18,speed limit is 50,speed limit is 60,0,0.631578947368421,0.6445017059995735,0.0004892899996775668
199,-50,19,speed limit is 50,speed limit is 60,0,0.6,0.6659004879984423,0.00048123499800567515
200,-50,20,speed limit is 60,speed limit is 30,0,0.5714285714285714,0.6513248099981865,0.0004919940001855139
201,-50,21,speed limit is 60,speed limit is 60,1,0.5909090909090909,0.6439546760011581,0.0004992159992980305
202,-50,22,speed limit is 60,speed limit is 60,1,0.6086956521739131,0.6688490999986243,0.0004827720003959257
203,-50,23,speed limit is 60,speed limit is 50,0,0.5833333333333334,0.6448685719988134,0.0004824379975616466
204,-50,24,speed limit is 60,speed limit is 60,1,0.6,0.6645962809998309,0.0004937720004818402
205,-50,25,speed limit is 60,speed limit is 60,1,0.6153846153846154,0.6441235259990208,0.00048295699889422394
206,-50,26,speed limit is 60,speed limit is 60,1,0.6296296296296297,0.6612111549984547,0.0004906239992124029
207,-50,27,speed limit is 60,speed limit is 60,1,0.6428571428571429,0.641361298999982,0.00048427200090372935
208,-50,28,speed limit is 60,speed limit is 60,1,0.6551724137931034,0.668629454998154,0.00047777199870324694
209,-50,29,speed limit is 60,speed limit is 60,1,0.6666666666666666,0.6463562210010423,0.0004799210000783205
210,-50,30,speed limit is 80,speed limit is 80,1,0.6774193548387096,0.6423806019993208,0.0004843460010306444
211,-50,31,speed limit is 80,speed limit is 80,1,0.6875,0.651728323999123,0.0004974200019205455
212,-50,32,speed limit is 80,speed limit is 80,1,0.696969696969697,0.644374114999664,0.0004926239998894744
213,-50,33,speed limit is 80,speed limit is 60,0,0.6764705882352942,0.6704368040009285,0.0004877159990428481
214,-50,34,speed limit is 80,speed limit is 80,1,0.6857142857142857,0.6435971610007982,0.0004847350028285291
215,-50,35,speed limit is 80,speed limit is 50,0,0.6666666666666666,0.6684576229999948,0.00048167899876716547
216,-50,36,speed limit is 80,speed limit is 80,1,0.6756756756756757,0.6422153080020507,0.00047784699927433394
217,-50,37,speed limit is 80,speed limit is 60,0,0.6578947368421053,0.6713346629985608,0.0004895689999102615
218,-50,38,speed limit is 80,speed limit is 80,1,0.6666666666666666,0.6458858749974752,0.0004795499989995733
219,-50,39,speed limit is 80,speed limit is 60,0,0.65,0.6669239199982258,0.0004881790009676479
220,-50,40,pedestrian crossing,pedestrian crossing,1,0.6585365853658537,0.643739937000646,0.0004897910002910066
221,-50,41,pedestrian crossing,pedestrian crossing,1,0.6666666666666666,0.6479917010001373,0.00048147599954972975
222,-50,42,pedestrian crossing,pedestrian crossing,1,0.6744186046511628,0.6641225090024818,0.0004470130006666295
223,-50,43,pedestrian crossing,pedestrian crossing,1,0.6818181818181818,0.6451385139989725,0.00048138300189748406
224,-50,44,pedestrian crossing,pedestrian crossing,1,0.6888888888888889,0.6650279599998612,0.00047601299957023
225,-50,45,pedestrian crossing,pedestrian crossing,1,0.6956521739130435,0.6447419260002789,0.0004753089997393545
226,-50,46,pedestrian crossing,pedestrian crossing,1,0.7021276595744681,0.6683866060011496,0.00047712399828014895
227,-50,47,pedestrian crossing,pedestrian crossing,1,0.7083333333333334,0.6445624090010824,0.0004904209999949671
228,-50,48,pedestrian crossing,pedestrian crossing,1,0.7142857142857143,0.6682127929998387,0.0004943830026604701
229,-50,49,pedestrian crossing,pedestrian crossing,1,0.72,0.644681073998072,0.0005158640014997218
230,-50,50,do not enter,do not enter,1,0.7254901960784313,0.6446882039999764,0.0004906059984932654
231,-50,51,do not enter,pedestrian crossing,0,0.7115384615384616,0.6682056440004089,0.00048530899948673323
232,-50,52,do not enter,pedestrian crossing,0,0.6981132075471698,0.6440017860004446,0.0004814570020243991
233,-50,53,do not enter,pedestrian crossing,0,0.6851851851851852,0.6759976989997085,0.000479105998238083
234,-50,54,do not enter,pedestrian crossing,0,0.6727272727272727,0.6511699969996698,0.0004831240003113635
235,-50,55,do not enter,pedestrian crossing,0,0.6607142857142857,0.6689805249989149,0.0004809199999726843
236,-50,56,do not enter,do not enter,1,0.6666666666666666,0.6451266059993941,0.0004954020005243365
237,-50,57,do not enter,do not enter,1,0.6724137931034483,0.6635811630003445,0.0004836230000364594
238,-50,58,do not enter,pedestrian crossing,0,0.6610169491525424,0.6418334970003343,0.0004827720003959257
239,-50,59,do not enter,do not enter,1,0.6666666666666666,0.6522224840009585,0.0004936240002280101
240,-40,0,speed limit is 30,speed limit is 30,1,1.0,0.6461452969997481,0.0005241979997663293
241,-40,1,speed limit is 30,speed limit is 30,1,1.0,0.6456925429993134,0.00048377200073446147
242,-40,2,speed limit is 30,speed limit is 30,1,1.0,0.6693472609986202,0.0004970119989593513
243,-40,3,speed limit is 30,speed limit is 30,1,1.0,0.6453131410016795,0.0004829200006497558
244,-40,4,speed limit is 30,speed limit is 30,1,1.0,0.6679912770014198,0.0004837339984078426
245,-40,5,speed limit is 30,speed limit is 30,1,1.0,0.646108593999088,0.00048530899948673323
246,-40,6,speed limit is 30,speed limit is 30,1,1.0,0.6686801579999155,0.0005511780000233557
247,-40,7,speed limit is 30,speed limit is 30,1,1.0,0.6440730070025893,0.00048549400162301026
248,-40,8,speed limit is 30,speed limit is 30,1,1.0,0.6618093319993932,0.0004924939967168029
249,-40,9,speed limit is 30,speed limit is 30,1,1.0,0.641858848000993,0.0004790310013049748
