image,tx_power,idx,y,pred,ok,acc,t_encode,t_decode
0,-80,0,speed limit is 30,pedestrian crossing,0,0.0,0.635747480991995,0.0005500120023498312
1,-80,1,speed limit is 30,do not enter,0,0.0,0.6334536780050257,0.00045938299444969743
2,-80,2,speed limit is 30,pedestrian crossing,0,0.0,0.6665212529915152,0.00049202999798581
3,-80,3,speed limit is 30,speed limit is 50,0,0.0,0.6342097050073789,0.0005228080117376521
4,-80,4,speed limit is 30,speed limit is 60,0,0.0,0.6725473240076099,0.0005025300051784143
5,-80,5,speed limit is 30,speed limit is 30,1,0.16666666666666666,0.6316693480039248,0.0005022709956392646
6,-80,6,speed limit is 30,speed limit is 80,0,0.14285714285714285,0.6679732159973355,0.0004851970006711781
7,-80,7,speed limit is 30,do not enter,0,0.125,0.6386246290057898,0.0004681229911511764
8,-80,8,speed limit is 30,speed limit is 60,0,0.1111111111111111,0.6733493320061825,0.0004950300062773749
9,-80,9,speed limit is 30,speed limit is 80,0,0.1,0.6358601649990305,0.000581048007006757
10,-80,10,speed limit is 50,speed limit is 30,0,0.09090909090909091,0.6383983539999463,0.0006451209919760004
11,-80,11,speed limit is 50,pedestrian crossing,0,0.08333333333333333,0.6347864190029213,0.0004954379983246326
12,-80,12,speed limit is 50,speed limit is 50,1,0.15384615384615385,0.6360231450089486,0.0004912529984721914
13,-80,13,speed limit is 50,do not enter,0,0.14285714285714285,0.6647302390047116,0.0004958460049238056
14,-80,14,speed limit is 50,speed limit is 50,1,0.2,0.6379093230061699,0.0004907900001853704
15,-80,15,speed limit is 50,pedestrian crossing,0,0.1875,0.6700220050115604,0.0005068820028100163
16,-80,16,speed limit is 50,pedestrian crossing,0,0.17647058823529413,0.6364221940020798,0.0004925120010739192
17,-80,17,speed limit is 50,speed limit is 50,1,0.2222222222222222,0.6779897350061219,0.0004947899869875982
18,-80,18,speed limit is 50,do not enter,0,0.21052631578947367,0.6377250110090245,0.0005628810031339526
19,-80,19,speed limit is 50,speed limit is 50,1,0.25,0.6718274260056205,0.000492327002575621
20,-80,20,speed limit is 60,do not enter,0,0.23809523809523808,0.6372746100096265,0.00048234499990940094
21,-80,21,speed limit is 60,pedestrian crossing,0,0.22727272727272727,0.6375531429948751,0.000496955995913595
22,-80,22,speed limit is 60,do not enter,0,0.21739130434782608,0.6588106480048737,0.0004889560077572241
23,-80,23,speed limit is 60,speed limit is 80,0,0.20833333333333334,0.6375646789965685,0.0004805490025319159
24,-80,24,speed limit is 60,pedestrian crossing,0,0.2,0.6748884420085233,0.0004916229954687878
25,-80,25,speed limit is 60,speed limit is 80,0,0.19230769230769232,0.6387863679992734,0.0004906600079266354
26,-80,26,speed limit is 60,do not enter,0,0.18518518518518517,0.6837755870074034,0.0004956409975420684
27,-80,27,speed limit is 60,speed limit is 60,1,0.21428571428571427,0.635498835996259,0.00048612400132697076
28,-80,28,speed limit is 60,pedestrian crossing,0,0.20689655172413793,0.6710048250097316,0.0005006230057915673
29,-80,29,speed limit is 60,pedestrian crossing,0,0.2,0.6383230400097091,0.0004928829876007512
30,-80,30,speed limit is 80,speed limit is 80,1,0.22580645161290322,0.6855724899942288,0.0005003450060030445
31,-80,31,speed limit is 80,speed limit is 80,1,0.25,0.6374955689971102,0.0004980119992978871
32,-80,32,speed limit is 80,pedestrian crossing,0,0.24242424242424243,0.635386355992523,0.0004893459990853444
33,-80,33,speed limit is 80,pedestrian crossing,0,0.23529411764705882,0.6716866869974183,0.0009202469955198467
34,-80,34,speed limit is 80,speed limit is 50,0,0.22857142857142856,0.6355672420031624,0.0004990119923604652
35,-80,35,speed limit is 80,do not enter,0,0.2222222222222222,0.6778659770061495,0.0004919560014968738
