image,method,idx,t_encode,t_decode,t_total
0,semcom,3,0.030162806000589626,0.00012720000086119398,0.03029000600145082
1,semcom,10,0.02364976600074442,0.0001054599997587502,0.02375522600050317
2,semcom,6,0.025560870999470353,0.00014310900223790668,0.02570398000170826
3,semcom,9,0.026899185999354813,0.00010766999912448227,0.027006855998479296
4,semcom,25,0.023515757002314785,0.00010303000090061687,0.023618787003215402
5,semcom,35,0.02661843700116151,0.0001464000015403144,0.026764837002701825
6,semcom,0,0.024583153001003666,0.0001056099972629454,0.02468876299826661
7,semcom,8,0.028096281999751227,0.00012799999967683107,0.028224281999428058
8,semcom,22,0.026540177001152188,0.00012912000238429755,0.026669297003536485
9,semcom,26,0.027658293998683803,0.00014597900008084252,0.027804272998764645
10,semcom,12,0.027892763002455467,0.00012508999861893244,0.0280178530010744
11,semcom,16,0.026170418997935485,0.00010402899715700187,0.026274447995092487
12,semcom,4,0.025307690997578902,0.00013527900227927603,0.025442969999858178
13,semcom,5,0.028585580999788363,0.0001348790028714575,0.02872046000265982
14,semcom,13,0.02530015099910088,0.00014084899885347113,0.02544099999795435
15,semcom,17,0.024185494999983348,0.00013729900092585012,0.024322794000909198
16,semcom,1,0.026143307997699594,0.00010558999929344282,0.026248897996993037
17,semcom,2,0.024982681999972556,0.00012703999891527928,0.025109721998887835
18,semcom,11,0.02500564300135011,0.00011263900159974582,0.025118282002949854
19,semcom,14,0.024893932000850327,0.0001037600013660267,0.024997692002216354
20,baseline,3,0.0024179930005630013,0.024832682000123896,0.027250675000686897
21,baseline,10,0.0004685690000769682,0.02863248999710777,0.029101058997184737
22,baseline,6,0.0005191980017116293,0.027918192998185987,0.028437390999897616
23,baseline,9,0.00041328899897052906,0.02405522499975632,0.02446851399872685
24,baseline,25,0.0003679590008687228,0.025291630998253822,0.025659589999122545
25,baseline,35,0.00034276899896212853,0.028447480999602703,0.028790249998564832
26,baseline,0,0.00044868899931316264,0.028023622999171494,0.028472311998484656
27,baseline,8,0.0003380089983693324,0.0245746139989933,0.024912622997362632
28,baseline,22,0.0004814389976672828,0.027908962998481,0.028390401996148285
29,baseline,26,0.0004589790005411487,0.028258681999432156,0.028717660999973305
30,baseline,12,0.0004846990013902541,0.028625141003431054,0.029109840004821308
31,baseline,16,0.0004890489981335122,0.02889589999904274,0.029384948997176252
32,baseline,4,0.0004903689987258986,0.030981943000369938,0.03147231199909584
33,baseline,5,0.0004962879975209944,0.025866048999887425,0.02636233699740842
34,baseline,13,0.0003564889993867837,0.02386255599776632,0.024219044997153105
35,baseline,17,0.0005327690014382824,0.0255443700007163,0.02607713900215458
36,baseline,1,0.0003465789995971136,0.02363608599989675,0.023982664999493863
37,baseline,2,0.000330588998622261,0.024755963000643533,0.025086551999265794
38,baseline,11,0.00036226900192559697,0.023649716000363696,0.024011985002289293
39,baseline,14,0.00036963800084777176,0.026076748999912525,0.026446387000760296
