image,method,idx,t_encode,t_decode,t_total
0,semcom,0,0.03970386600121856,0.00016226899970206432,0.03986613500092062
1,semcom,1,0.03771270200013532,0.00010911999925156124,0.037821821999386884
2,semcom,10,0.03731794299892499,0.00015259999781847,0.03747054299674346
3,semcom,11,0.036624986001697835,0.00010973000098601915,0.036734716002683854
4,semcom,20,0.03659290600262466,0.00010378000297350809,0.03669668600559817
5,semcom,21,0.03717561399753322,0.0001221590027853381,0.03729777300031856
6,semcom,30,0.038629768998362124,0.00010611999823595397,0.03873588899659808
7,semcom,31,0.0367522150008881,0.00011689000166370533,0.036869105002551805
8,semcom,40,0.036741194999194704,0.0001124299997172784,0.03685362499891198
9,semcom,41,0.0374238839976897,0.00012216899995109998,0.0375460529976408
10,semcom,50,0.03329774600206292,0.00011047900261473842,0.03340822500467766
11,semcom,51,0.031009843001811532,0.00011488000018289313,0.031124723001994425
12,baseline,0,0.000977947001956636,0.03450330199848395,0.035481249000440584
13,baseline,1,0.0015343949999078177,0.03438134300085949,0.035915738000767305
14,baseline,10,0.0021742530007031746,0.03454106199933449,0.03671531500003766
15,baseline,11,0.0007061770011205226,0.033990514999459265,0.03469669200057979
16,baseline,20,0.0014625049989263061,0.036477556997851934,0.03794006199677824
17,baseline,21,0.0030597109980590176,0.0378601919983339,0.04091990299639292
18,baseline,30,0.0010241370000585448,0.03915382800187217,0.040177965001930716
19,baseline,31,0.0007911380016594194,0.03294703700157697,0.03373817500323639
20,baseline,40,0.0008131479989970103,0.03332913600024767,0.03414228399924468
21,baseline,41,0.0010071370015793946,0.031956449998688186,0.03296358700026758
22,baseline,50,0.0007006569976510946,0.0335328559995105,0.0342335129971616
23,baseline,51,0.0007069179991958663,0.03296849699836457,0.03367541499756044
