image,method,idx,t_encode,t_decode,t_total
0,semcom,3,0.2835404000006747,0.0024053189999904134,0.2859457190006651
1,semcom,10,0.26289176599948405,0.00019664699993882095,0.26308841299942287
2,semcom,21,0.2624884720007685,0.00019753600008698413,0.2626860080008555
3,semcom,27,0.2611721100001887,0.00020707300063804723,0.26137918300082674
4,semcom,44,0.26134912700035784,0.0001968689994100714,0.2615459959997679
5,semcom,52,0.26112829499925283,0.0001946279999174294,0.26132292299917026
6,semcom,74,0.26051248400017357,0.00019760999930440448,0.260710093999478
7,semcom,90,0.26174140199964313,0.00020551800025714329,0.2619469199999003
8,semcom,97,0.26153640399934375,0.00020127700008742977,0.2617376809994312
9,semcom,98,0.26025120799931756,0.00019390599936741637,0.260445113998685
10,semcom,6,0.26017891200081067,0.0001903689999380731,0.26036928100074874
11,semcom,9,0.2612170900001729,0.00019490700015012408,0.261411997000323
12,semcom,37,0.2614637369997581,0.00019368399989616591,0.2616574209996543
13,semcom,66,0.2605597609999677,0.00019924000025639543,0.2607590010002241
14,semcom,81,0.2608578520002993,0.00019822100057353964,0.26105607300087286
15,semcom,82,0.25968617299986363,0.00019760999930440448,0.25988378299916803
16,semcom,104,0.26189525299923844,0.00019520299974828959,0.2620904559989867
17,semcom,105,0.25964952599952085,0.00019386899930395884,0.2598433949988248
18,semcom,114,0.25990772800014383,0.0001981470004466246,0.26010587500059046
19,semcom,122,0.26150236600005883,0.00019851700017170515,0.26170088300023053
20,semcom,25,0.26078333299938095,0.00019514700034051202,0.26097847999972146
21,semcom,35,0.2611021089996939,0.0001961839998330106,0.2612982929995269
22,semcom,65,0.26063587099997676,0.00019420300031924853,0.260830074000296
23,semcom,67,0.26085948099989764,0.00019249900014983723,0.2610519800000475
24,semcom,70,0.2634100209997996,0.00019449899991741404,0.263604519999717
25,semcom,75,0.26098694299980707,0.0001918320003824192,0.2611787750001895
26,semcom,84,0.26053577899983793,0.00019375800002308097,0.260729536999861
27,semcom,86,0.26108477500019944,0.00019770200015045702,0.2612824770003499
28,semcom,113,0.26175084599981346,0.0001983499996640603,0.2619491959994775
29,semcom,118,0.26191117800044594,0.0001775920000000042,0.26208877000044595
30,semcom,0,0.2618024940002215,0.00019342499945196323,0.26199591899967345
31,semcom,8,0.260592982000162,0.000191850000192062,0.26078483200035407
32,semcom,46,0.26206306600033713,0.00019833199985441752,0.26226139800019155
33,semcom,53,0.2610718860005363,0.00020188700000289828,0.2612737730005392
34,semcom,61,0.26044974199976423,0.00019675800012919353,0.2606464999998934
35,semcom,63,0.261793771000157,0.0001951099993675598,0.26198888099952455
36,semcom,68,0.2605024090007646,0.00019731300017156173,0.26069972200093616
37,semcom,77,0.26064990799932275,0.00018220299989479827,0.26083211099921755
38,semcom,78,0.2603306880000673,0.00019825800063699717,0.2605289460007043
39,semcom,91,0.2604961300003197,0.00019429499934631167,0.260690424999666
40,semcom,22,0.2610190909999801,0.00019675800012919353,0.2612158490001093
41,semcom,26,0.2737921420002749,0.00035245999970356934,0.2741446019999785
42,semcom,32,0.30265793099988514,0.0001939979993039742,0.3028519289991891
43,semcom,36,0.26441427400004613,0.00034779399993567495,0.2647620679999818
44,semcom,40,0.2865515660005258,0.0001953510000021197,0.2867469170005279
45,semcom,58,0.2600025040001128,0.00019499899917718722,0.26019750299929
46,semcom,94,0.26223100799961685,0.00021864700011064997,0.2624496549997275
47,semcom,100,0.28989319300035277,0.0003558119997251197,0.2902490050000779
48,semcom,110,0.5257727870002782,0.0003180719995725667,0.5260908589998508
49,semcom,117,0.30471001099977,0.00035781299993686844,0.3050678239997069
