image,method,idx,t_encode,t_decode,t_total
0,semcom,3,0.20014694800011057,0.0002750349995039869,0.20042198299961456
1,semcom,10,0.20072170399998868,0.00020918399968650192,0.20093088799967518
2,semcom,21,0.19932000900007552,0.00021292499968694756,0.19953293399976246
3,semcom,27,0.19865503199980594,0.00021227699926384958,0.1988673089990698
4,semcom,44,0.20195714099918405,0.000210905999665556,0.2021680469988496
5,semcom,52,0.19875116099956358,0.00021172100059629884,0.19896288200015988
6,semcom,74,0.20054289099971356,0.00021275800008879742,0.20075564899980236
7,semcom,90,0.2013140340004611,0.00021857299998373492,0.20153260700044484
8,semcom,97,0.2021930840001005,0.0002175169993279269,0.20241060099942842
9,semcom,98,0.19958795200000168,0.0002127210000253399,0.19980067300002702
10,semcom,6,0.20051576100013335,0.00021073999960208312,0.20072650099973544
11,semcom,9,0.19789866599967354,0.0002131100000042352,0.19811177599967777
12,semcom,37,0.19939113899999938,0.00020777700046892278,0.1995989160004683
13,semcom,66,0.20091792500079464,0.00020629499977076193,0.2011242200005654
14,semcom,81,0.2009504059997198,0.00021390600068116328,0.20116431200040097
15,semcom,82,0.19958835899979022,0.00021212799947534222,0.19980048699926556
16,semcom,104,0.20040405799954897,0.00021212800038483692,0.2006161859999338
17,semcom,105,0.20003433799956838,0.00021288799962349003,0.20024722599919187
18,semcom,114,0.20096724000086397,0.0002101279997077654,0.20117736800057173
19,semcom,122,0.20200578900039545,0.00021399900015239837,0.20221978800054785
20,semcom,25,0.1986504389997208,0.000213794999581296,0.1988642339993021
21,semcom,35,0.19960184000046866,0.00020977599979232764,0.19981161600026098
22,semcom,65,0.19995985600053245,0.0002117950007232139,0.20017165100125567
23,semcom,67,0.20190276999983325,0.00021142399964446668,0.20211419399947772
24,semcom,70,0.19915506500001356,0.00024340599975403165,0.1993984709997676
25,semcom,75,0.19975400599923887,0.00020253500042599626,0.19995654099966487
26,semcom,84,0.20046690799972566,0.0002082760001940187,0.20067518399991968
27,semcom,86,0.2010636639997756,0.00021368400030041812,0.20127734800007602
28,semcom,113,0.20050396399983583,0.00020638800015149172,0.20071035199998732
29,semcom,118,0.2010292759996446,0.00021751800068159355,0.2012467940003262
30,semcom,0,0.20041087200024776,0.00020692399994004518,0.2006177960001878
31,semcom,8,0.2002011330005189,0.0002799989997583907,0.20048113200027728
32,semcom,46,0.19992187499974534,0.00021679499968740856,0.20013866999943275
33,semcom,53,0.20278685799985396,0.0002142570001524291,0.2030011150000064
34,semcom,61,0.1980418129996906,0.00020381299964356003,0.19824562599933415
35,semcom,63,0.20229775000007066,0.00021725799979321891,0.20251500799986388
36,semcom,68,0.1978223510004682,0.00020629499977076193,0.19802864600023895
37,semcom,77,0.2006397970008038,0.0002113130003635888,0.2008511100011674
38,semcom,78,0.1991888980001022,0.000193776999367401,0.1993826749994696
39,semcom,91,0.1992980639997768,0.00021199900038482156,0.1995100630001616
40,semcom,22,0.19981894900047337,0.00020886900074401638,0.20002781800121738
41,semcom,26,0.20081101800042234,0.00021514699983526953,0.2010261650002576
42,semcom,32,0.2001774660002411,0.00020770199989783578,0.20038516800013895
43,semcom,36,0.2010300530000677,0.0002038689999608323,0.20123392200002854
44,semcom,40,0.19713802200021746,0.00021094299972901354,0.19734896499994647
45,semcom,58,0.20126038499984134,0.00019512899962137453,0.2014555139994627
46,semcom,94,0.20142758799920557,0.000207684000088193,0.20163527199929376
47,semcom,100,0.20120794099966588,0.00020910999955958687,0.20141705099922547
48,semcom,110,0.20181058599973767,0.00021259100049064728,0.20202317700022832
49,semcom,117,0.20130758799950854,0.00021777599977212958,0.20152536399928067
50,semcom,12,0.1989827500001411,0.00020544300059555098,0.19918819300073665
51,semcom,16,0.19824327399965114,0.00021509100042749196,0.19845836500007863
52,semcom,24,0.19976563500040356,0.00021407300027931342,0.19997970800068288
53,semcom,31,0.20088027600013447,0.00023964599949977128,0.20111992199963424
54,semcom,33,0.19770294399950217,0.00021646199911629083,0.19791940599861846
55,semcom,39,0.20200002900037362,0.00021383199964475352,0.20221386100001837
56,semcom,42,0.20037744599994767,0.00021353600004658801,0.20059098199999426
57,semcom,85,0.19901126900003874,0.00021148000087123364,0.19922274900090997
58,semcom,101,0.19900989899997512,0.00021283199930621777,0.19922273099928134
59,semcom,128,0.2006353710003168,0.00022581299981538905,0.2008611840001322
60,semcom,4,0.20061144500050432,0.0002120729996022419,0.20082351800010656
61,semcom,5,0.20215082400045503,0.00021103599920024863,0.20236185999965528
62,semcom,7,0.19959130200004438,0.00021127700074430322,0.19980257900078868
63,semcom,19,0.20286798699999053,0.00019292500019219005,0.20306091200018273
64,semcom,29,0.19926324899915926,0.00021733199992013397,0.1994805809990794
65,semcom,30,0.20032287200046994,0.0002132580002580653,0.200536130000728
66,semcom,41,0.19782636899981298,0.00020646099983423483,0.19803282999964722
67,semcom,43,0.19859819799967227,0.00021292499968694756,0.1988111229993592
68,semcom,49,0.1990778429999409,0.00019516599968483206,0.19927300899962574
69,semcom,59,0.20207108299928223,0.00029462800011970103,0.20236571099940193
70,semcom,13,0.19843932799994946,0.00020970199966541259,0.19864902999961487
71,semcom,17,0.2007633690000148,0.0001918319994729245,0.20095520099948772
72,semcom,20,0.19850499400035915,0.0002091290007228963,0.19871412300108204
73,semcom,48,0.20215982400077337,0.00020896200021525146,0.20236878600098862
74,semcom,56,0.19935648800037598,0.00020910999955958687,0.19956559799993556
75,semcom,57,0.20061261000046215,0.00020746199970744783,0.2008200720001696
76,semcom,60,0.19925502600017353,0.00020824000057473313,0.19946326600074826
77,semcom,69,0.20504812099989067,0.00020860900076513644,0.2052567300006558
78,semcom,83,0.19958672800021304,0.00021568400006799493,0.19980241200028104
