image,method,idx,t_encode,t_decode,t_total
0,semcom,0,0.4752685809999093,0.00024766500064288266,0.4755162460005522
1,semcom,1,0.3057130050001433,0.00020849799966526916,0.3059215029998086
2,semcom,2,0.2928232869999192,0.00021723899953940418,0.2930405259994586
3,semcom,3,0.3173126190004041,0.00020927600053255446,0.31752189500093664
4,semcom,4,0.29579899100008333,0.00038177599981281674,0.29618076699989615
5,semcom,5,0.3239056519996666,0.00037151600008655805,0.32427716799975315
6,semcom,6,0.32071561600059795,0.00020311000025685644,0.3209187260008548
7,semcom,7,0.29248517799987894,0.00021368400030041812,0.29269886200017936
8,semcom,8,0.3183285020004405,0.00021401699996204115,0.31854251900040254
9,semcom,9,0.29639482000038697,0.00037620199964294443,0.2967710220000299
10,semcom,10,0.3161938109997209,0.00021044300046924036,0.3164042540001901
11,semcom,11,0.2957928980003999,0.00021857199953956297,0.29601146999993944
12,semcom,12,0.2620455669994044,0.00020418400072230725,0.2622497510001267
13,semcom,13,0.290874371999962,0.00020338800004537916,0.2910777600000074
14,semcom,14,0.2904604859995743,0.00037797899949509883,0.2908384649990694
15,semcom,15,0.291837495999971,0.00020970300010958454,0.2920471990000806
16,semcom,16,0.2621118259994546,0.00021368399939092342,0.2623255099988455
17,semcom,17,0.264948808000554,0.00020509200021479046,0.26515390000076877
18,semcom,18,0.26197290099935344,0.00020642500021494925,0.2621793259995684
19,semcom,19,0.2633307619998959,0.00020681400019384455,0.26353757600008976
20,semcom,20,0.2625863780003783,0.00019740599964279681,0.2627837840000211
21,semcom,21,0.29259051000008185,0.00021127600030013127,0.292801786000382
22,semcom,22,0.2644732180006031,0.00019649899968499085,0.2646697170002881
23,semcom,23,0.2629090239997822,0.00020736899932671804,0.26311639299910894
24,semcom,24,0.26366918599978817,0.0002229430001534638,0.26389212899994163
25,semcom,25,0.26458510599968577,0.00020485100048972527,0.2647899570001755
26,semcom,26,0.2633027989995753,0.00020733200017275522,0.26351013099974807
27,semcom,27,0.26369220499964285,0.00020475800010899547,0.26389696299975185
28,semcom,28,0.26342292800018186,0.00021255399951769505,0.26363548199969955
29,semcom,29,0.2634840009995969,0.00020498000048974063,0.26368898100008664
30,semcom,30,0.26269382200007385,0.00018723999983194517,0.2628810619999058
31,semcom,31,0.2633268540002973,0.00020486900029936805,0.2635317230005967
32,semcom,32,0.26484734499990736,0.00020157299968559528,0.26504891799959296
33,semcom,33,0.2628029690004041,0.0002027949994953815,0.2630057639998995
34,semcom,34,0.26604020899958414,0.00020451700038393028,0.26624472599996807
35,semcom,35,0.2636636670004009,0.0002039439996224246,0.2638676110000233
36,semcom,36,0.26417934900018736,0.00020670300000347197,0.26438605200019083
37,semcom,37,0.2626655989997744,0.00020266599949536612,0.26286826499926974
38,semcom,38,0.262826856999709,0.00020444299934752053,0.2630312999990565
39,semcom,39,0.263056540999969,0.000208923999707622,0.2632654649996766
40,semcom,40,0.2631867999998576,0.00021392400049080607,0.2634007240003484
41,semcom,41,0.26372872200045094,0.00019733199951588176,0.2639260539999668
42,semcom,42,0.263321372000064,0.00020760999996127794,0.2635289820000253
43,semcom,43,0.2621948240002894,0.00021044299955974566,0.2624052669998491
44,semcom,44,0.2641357379998226,0.00019983200036222115,0.2643355700001848
45,semcom,45,0.26334857599977113,0.0001807770004234044,0.26352935300019453
46,semcom,46,0.2644706060000317,0.00020344299991847947,0.2646740489999502
47,semcom,47,0.2636877410004672,0.00021123899932717904,0.2638989799997944
48,semcom,48,0.26331346500046493,0.00020623900036298437,0.2635197040008279
49,semcom,49,0.26757782799995766,0.00020788799974980066,0.26778571599970746
50,semcom,50,0.2714599150003778,0.00021310899956006324,0.27167302399993787
51,semcom,51,0.27116778699928545,0.00021235099939076463,0.2713801379986762
52,semcom,52,0.2702439039994715,0.00020492500061664032,0.27044882900008815
53,semcom,53,0.26969727800042165,0.0002387020003880025,0.26993598000080965
54,semcom,54,0.2714151000000129,0.00020403600046847714,0.2716191360004814
55,semcom,55,0.2720314109992614,0.00020575799953803653,0.27223716899879946
56,semcom,56,0.2715026930000022,0.00021568400006799493,0.2717183770000702
57,semcom,57,0.27101706600024045,0.00021322100019460777,0.27123028700043506
58,semcom,58,0.2712074350001785,0.0002150170003005769,0.2714224520004791
59,semcom,59,0.2710570099998222,0.00020634999964386225,0.27126335999946605
60,baseline,0,0.0019344329994055443,0.2738099929993041,0.27574442599870963
61,baseline,1,0.002790371000628511,0.27513978099977976,0.27793015200040827
62,baseline,2,0.00147225000000617,0.27423049000026367,0.27570274000026984
63,baseline,3,0.004477694999877713,0.27288611000039964,0.27736380500027735
64,baseline,4,0.0009632350001993473,0.2731034409998756,0.27406667600007495
65,baseline,5,0.0013555289997384534,0.2728112209997562,0.27416674999949464
66,baseline,6,0.0019409879996601376,0.27504931899966323,0.27699030699932337
67,baseline,7,0.0009691420000308426,0.27185483900029794,0.2728239810003288
68,baseline,8,0.000976439000623941,0.2740847869999925,0.27506122600061644
69,baseline,9,0.0013099549996695714,0.27283264600009716,0.27414260099976673
70,baseline,10,0.004303362000428024,0.27357788300014363,0.27788124500057165
71,baseline,11,0.0012739359999613953,0.2727773500000694,0.2740512860000308
72,baseline,12,0.0007311810004466679,0.27314295999985916,0.2738741410003058
73,baseline,13,0.0008187729999917792,0.27424106400030723,0.275059837000299
74,baseline,14,0.0012914740000269376,0.2717408569997133,0.2730323309997402
75,baseline,15,0.0019158410004820325,0.27471318999960204,0.27662903100008407
76,baseline,16,0.001968525000847876,0.27291705399966304,0.2748855790005109
77,baseline,17,0.0024967070003185654,0.2742955820003772,0.27679228900069575
78,baseline,18,0.004334417999416473,0.2736044009998295,0.277938818999246
79,baseline,19,0.0014800460003243643,0.27450480299921765,0.275984848999542
80,baseline,20,0.002771668000605132,0.2737486229998467,0.27652029100045183
81,baseline,21,0.004073068000252533,0.2741286760001458,0.2782017440003983
82,baseline,22,0.001554583000142884,0.2726838130001852,0.27423839600032807
83,baseline,23,0.0013727140003538807,0.27382313999987673,0.2751958540002306
84,baseline,24,0.002110395000272547,0.27292370199938887,0.2750340969996614
85,baseline,25,0.0027248910000707838,0.2740178610001749,0.2767427520002457
86,baseline,26,0.002508225999918068,0.2739959900000031,0.27650421599992114
87,baseline,27,0.0013255479998406372,0.2737039559997356,0.27502950399957626
88,baseline,28,0.003726533000190102,0.27371508600026573,0.27744161900045583
89,baseline,29,0.0020360990001790924,0.2733835500002897,0.2754196490004688
90,baseline,30,0.0019337290004841634,0.2739981759996226,0.2759319050001068
91,baseline,31,0.001362472999971942,0.2749938730003123,0.27635634600028425
92,baseline,32,0.0009619009997550165,0.2751703900003122,0.2761322910000672
93,baseline,33,0.0009116250002989545,0.2729187559998536,0.27383038100015256
94,baseline,34,0.0013757689994235989,0.27415463799934514,0.27553040699876874
95,baseline,35,0.0009232169995812001,0.2750629289994322,0.2759861459990134
96,baseline,36,0.0013950470001873327,0.2731938100005209,0.27458885700070823
97,baseline,37,0.0013439920003293082,0.2727843129996472,0.27412830499997654
98,baseline,38,0.0010166049996769289,0.2731276249996881,0.27414422999936505
99,baseline,39,0.000995901999885973,0.27406087899998965,0.2750567809998756
100,baseline,40,0.0014216580002539558,0.2745006720006131,0.2759223300008671
