image,method,idx,t_encode,t_decode,t_total
0,semcom,0,0.20372447400040983,0.0002642939998622751,0.2039887680002721
1,semcom,1,0.20515750200047478,0.00022584999987884657,0.20538335200035363
2,semcom,2,0.2071124719996078,0.0002339610000490211,0.20734643299965683
3,semcom,3,0.2069393610008774,0.00022577600066142622,0.20716513700153882
4,semcom,4,0.2045351729993854,0.000213460999475501,0.2047486339988609
5,semcom,5,0.20734772900050302,0.00021929499962425325,0.20756702400012728
6,semcom,6,0.2067062520000036,0.00022640599945589202,0.20693265799945948
7,semcom,7,0.20638879099988117,0.00022894299945619423,0.20661773399933736
8,semcom,8,0.4516810289997011,0.00023099800000636606,0.45191202699970745
9,semcom,9,0.21778714700030832,0.00022274000002653338,0.21800988700033486
10,semcom,10,0.20433956299984857,0.00022105399966676487,0.20456061699951533
11,semcom,11,0.2052237050002077,0.00022694299968861742,0.20545064799989632
12,semcom,12,0.20956034600021667,0.0002220719998149434,0.2097824180000316
13,semcom,13,0.20619232899935014,0.0004003310004918603,0.206592659999842
14,semcom,14,0.2355556679995061,0.000220294999962789,0.2357759629994689
15,semcom,15,0.2059183679994021,0.00022853600057715084,0.20614690399997926
16,semcom,16,0.2040483979999408,0.00022040600015316159,0.20426880400009395
17,semcom,17,0.20773768999970343,0.00021972100057610078,0.20795741100027954
18,semcom,18,0.20694067600015842,0.00021916500008956064,0.20715984100024798
19,semcom,19,0.204556321000382,0.00022273899958236143,0.20477905999996437
20,semcom,20,0.20503840999936074,0.00021933199968771078,0.20525774199904845
21,semcom,21,0.20805748400016455,0.00022007299958204385,0.2082775569997466
22,semcom,22,0.20498492899969278,0.0002240920002805069,0.2052090209999733
23,semcom,23,0.2081076499998744,0.0002234799994766945,0.2083311299993511
24,semcom,24,0.20693193599981896,0.00019792399962170748,0.20712985999944067
25,semcom,25,0.20655960400017648,0.00021773899970867205,0.20677734299988515
26,semcom,26,0.20898562599995785,0.00022523900042870082,0.20921086500038655
27,semcom,27,0.20702710200021102,0.00021931299943389604,0.2072464149996449
28,semcom,28,0.2071532859999934,0.00022616500064032152,0.2073794510006337
29,semcom,29,0.20680767700014258,0.00021914699937042315,0.207026823999513
30,semcom,30,0.2062491990000126,0.00023357299960480304,0.2064827719996174
31,semcom,31,0.2044975050002904,0.0002329239996470278,0.20473042899993743
32,semcom,32,0.20722537799974816,0.00021699799981433898,0.2074423759995625
33,semcom,33,0.20769633799955045,0.00022742400051356526,0.20792376200006402
34,semcom,34,0.20583283099949767,0.00021438700059661642,0.2060472180000943
35,semcom,35,0.20523642799980735,0.00022342400006891694,0.20545985199987626
36,semcom,36,0.20690689899947756,0.0002207020006608218,0.20712760100013838
37,semcom,37,0.20480859599956602,0.00022385000011126976,0.2050324459996773
38,semcom,38,0.20776274499985448,0.0002160539997930755,0.20797879899964755
39,semcom,39,0.20835087100022065,0.00021855399972992018,0.20856942499995057
40,semcom,40,0.20457615400027862,0.00021442399975057924,0.2047905780000292
41,semcom,41,0.2076768560000346,0.00023134999992180383,0.2079082059999564
42,semcom,42,0.2223798209997767,0.000402108999878692,0.2227819299996554
43,semcom,43,0.21832977299982304,0.00022096200063970173,0.21855073500046274
44,semcom,44,0.20860399899993354,0.0002230910004072939,0.20882709000034083
45,semcom,45,0.4470127770000545,0.00021872099932807032,0.44723149799938255
46,semcom,46,0.20547088900002564,0.00022047999937058194,0.20569136899939622
47,semcom,47,0.20623621699996875,0.00021822100006829714,0.20645443800003704
48,semcom,48,0.2048600769994664,0.00022361000083037652,0.20508368700029678
49,semcom,49,0.20537757400052215,0.00025470199943811167,0.20563227599996026
50,semcom,50,0.20653154899991932,0.0002254979999634088,0.20675704699988273
51,semcom,51,0.2046657820001201,0.00021890599964535795,0.20488468799976545
52,semcom,52,0.20576034900022933,0.00023162799971032655,0.20599197699993965
53,semcom,53,0.20870981299958657,0.00021792499956063693,0.2089277379991472
54,semcom,54,0.2079542430001311,0.00023197999962576432,0.20818622299975686
55,semcom,55,0.2071727849997842,0.00024125799973262474,0.20741404299951682
56,semcom,56,0.20832770400011213,0.00021529500008909963,0.20854299900020123
57,semcom,57,0.20563596099964343,0.0002222579996669083,0.20585821899931034
58,semcom,58,0.20867386899954,0.0002218690005975077,0.2088957380001375
59,semcom,59,0.20696882299944264,0.0002263690003019292,0.20719519199974457
